FULL NAME,TEAM,POS,GP,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,FG%,PointsPerGame,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,Offensive Rating
Jaylen Adams,Por,G,3,6.9,18.1,0,0,0,5,0.6,4,0,0.333,2,1,0.7,0.33,0,0,88.9
Steven Adams,Okc,C,7,30,15.7,20.8,20,0.45,51,0.608,1,0,0.596,10.1,11.6,1.3,0.57,0.29,2.29,112.8
Bam Adebayo,Mia,C-F,19,36.2,21,14.8,115,0.783,219,0.566,1,0,0.564,17.8,10.3,4.4,1,0.84,2.47,121.4
Jarrett Allen,Bro,C,4,33.1,13.1,26.2,16,0.813,24,0.583,0,0,0.583,10.3,14.8,2.3,0.5,1.75,2.75,117.9
Justin Anderson,Bro,F-G,3,9.4,23,12.7,4,1,1,0,11,0.455,0.625,6.3,2.7,1,0,0.33,0.67,127
Giannis Antetokounmpo,Mil,F,9,30.8,35.2,13.2,81,0.58,121,0.636,40,0.325,0.599,26.7,13.8,5.7,0.67,0.89,3.33,117.4
Carmelo Anthony,Por,F,5,35.1,20.7,14.9,14,0.857,49,0.408,19,0.421,0.471,15.2,5,2,1,0.4,2.6,94.7
OG Anunoby,Tor,F,11,35.7,13.1,13.8,28,0.643,47,0.489,41,0.415,0.551,10.5,6.9,1.2,1,1.18,1.45,111.4
D.J. Augustin,Orl,G,5,25.6,22.7,16.1,23,0.957,29,0.345,18,0.444,0.468,13.2,2,6,0.2,0,2.2,116
J.J. Barea,Dal,G,1,5.2,27.5,30.1,3,1,1,0,0,0,0,3,0,0,0,0,1,97.7
Keita Bates-Diop,Den,F,5,4.7,11.3,0,2,0.5,5,0.2,0,0,0.2,0.6,1.2,0.2,0,0,0,92.4
Darius Bazley,Okc,F-G,7,18,14.2,14.5,10,0.9,9,0.222,22,0.5,0.597,6.6,6.7,0.9,0,0.43,0.86,117.3
Patrick Beverley,Lac,G,8,20.8,12.6,14.7,4,0.5,17,0.706,22,0.364,0.615,6.3,4.1,2.4,1,0.38,0.88,123.7
Khem Birch,Orl,C,5,17.9,11.4,21,11,0.909,14,0.5,0,0,0.5,4.8,5,1.4,0.2,0,1,124.9
Eric Bledsoe,Mil,G,9,29.7,21.3,17.4,26,0.808,66,0.455,32,0.25,0.429,11.7,4.6,5.9,1.22,0.67,2.56,99.6
Bol Bol,Den,C-F,4,5.4,30.9,13.8,8,0.875,6,0.5,3,0.667,0.667,4.8,1.3,0,0.5,0.5,0.5,135.6
Chris Boucher,Tor,F-C,7,6.1,12.9,8,1,0,6,0.167,5,0.4,0.364,1.1,1.7,0.1,0,0.29,0.14,83.6
Tony Bradley,Uta,C-F,6,8.1,15.5,24.9,7,0.714,9,0.222,0,0,0.222,1.5,3.8,0.2,0.33,0.33,0.67,94.6
Jarrell Brantley,Uta,F,2,6.5,25,14.5,2,0.5,2,0,3,0,0,0.5,2,1,0,0.5,0.5,62.5
Malcolm Brogdon,Ind,G,4,40,25.1,11.5,28,0.893,41,0.415,24,0.375,0.469,21.5,4.3,10,1,0,2.5,117.8
Jaylen Brown,Bos,F-G,17,39.5,23.7,11.5,63,0.841,168,0.56,120,0.358,0.55,21.8,7.5,2.3,1.53,0.53,2.41,110.6
Sterling Brown,Mil,G-F,1,3.6,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
Trey Burke,Dal,G,6,26.1,19.1,8.6,10,0.6,42,0.524,17,0.471,0.576,12.3,3.2,2,1.33,0.33,1,113.7
Alec Burks,Phi,G,4,23.7,25.7,5.4,9,0.778,33,0.394,16,0.188,0.357,10.5,3.8,1.8,0.25,0.75,0.75,92.4
Deonte Burton,Okc,G-F,1,2.1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
Jimmy Butler,Mia,F,21,38.4,24.6,13.5,191,0.859,252,0.512,43,0.349,0.514,22.2,6.5,6,1.95,0.67,2.81,123.1
Bruno Caboclo,Hou,F,2,3.3,13.6,0,0,0,1,1,1,0,0.5,1,1.5,0,0.5,0,0,
Kentavious Caldwell-Pope,Lal,G,21,29,15.5,6.9,27,0.815,70,0.486,119,0.378,0.537,10.7,2.1,1.3,1,0.19,0.71,112.3
DeMarre Carroll,Hou,F,2,2.9,15.5,0,0,0,2,0.5,0,0,0.5,1,1.5,0.5,0,0,0,
Alex Caruso,Lal,G,21,24.3,13.4,19.7,30,0.8,52,0.596,61,0.279,0.5,6.5,2.3,2.8,1.1,0.57,1.48,106.2
Chris Chiozza,Bro,G,4,16.2,18.3,10.4,4,0.5,8,0.375,16,0.313,0.438,5.8,1.5,4.3,1.25,0,0.75,109
Gary Clark,Orl,F,5,28.7,11.1,5.4,5,0.8,1,0,32,0.344,0.5,7.4,5.6,1.4,1,0.4,0.4,113.2
Jordan Clarkson,Uta,G,7,28.6,25.3,6.5,10,1,48,0.583,49,0.347,0.552,16.7,3.4,2.1,0.86,0,1,114.6
Chris Clemons,Hou,G,2,4.1,32.1,0,2,0.5,0,0,5,0.4,0.6,3.5,1,0,0,0,0,116.1
Antonius Cleveland,Dal,G,2,4.6,23.6,0,0,0,5,0.4,0,0,0.4,2,0.5,0,0.5,0,0,93.7
Amir Coffey,Lac,G-F,3,2.3,24.6,0,2,1,2,0,1,0,0,0.7,0,1.3,0.33,0,0,
Mike Conley,Uta,G,5,33,22.3,6.4,22,0.864,30,0.433,34,0.529,0.625,19.8,2.8,5.2,1.6,0.2,1,140.7
Pat Connaughton,Mil,G,10,17.1,10.3,12.2,2,1,12,0.583,23,0.348,0.543,4,3.9,1.1,0.2,0.2,0.5,112.3
Quinn Cook,Lal,G,6,4.1,20.5,8.7,1,1,6,0.5,4,0.5,0.6,2.2,0.2,0.8,0,0,0.17,129.7
Tyler Cook,Den,F,1,4.2,0,,0,0,0,0,0,0,,0,2,0,0,0,0,
Robert Covington,Hou,F,12,31.6,13,10.9,7,0.857,27,0.481,68,0.5,0.674,11.2,5,1.4,2.5,1.08,1,125.8
Torrey Craig,Den,F,19,19.8,11.3,9.7,13,0.692,36,0.611,42,0.262,0.494,4.5,3.3,0.7,0.37,0.37,0.47,105.8
Jae Crowder,Mia,F,21,31.4,16.2,6.3,46,0.761,40,0.65,161,0.342,0.54,12,5.6,1.9,0.67,0.57,0.71,114
Seth Curry,Dal,G,6,28.8,15.7,12.7,5,1,32,0.656,21,0.476,0.679,12.8,1.8,1.3,1,0,1.33,122.2
Troy Daniels,Den,F,6,5,19.4,0,2,0.5,6,0.5,6,0.5,0.625,2.7,0.5,0.3,0,0,0,131.5
Anthony Davis,Lal,F-C,21,36.6,27.8,10.8,179,0.832,299,0.609,60,0.383,0.603,27.7,9.7,3.5,1.24,1.43,2.52,127.8
Terence Davis,Tor,G,6,14,20,15.8,7,1,10,0.6,19,0.421,0.621,7.2,2.2,1.2,0.17,0,1,118.1
